site;sample;rep
PLLM_2023;3;6
PLLM_2023;4;1
PLLM_2023;4;2
PLLM_2023;4;3
PLLM_2023;4;4
PLLM_2023;4;5
PLLM_2023;4;6
PLLM_2023;5;1
PLLM_2023;5;2
PLLM_2023;5;3
PLLM_2023;5;4
PLLM_2023;5;5
PLLM_2023;5;6
PLLM_2023;6;1
PLLM_2023;6;2
PLLM_2023;6;3
PLLM_2023;6;4
PLLM_2023;6;5
PLLM_2023;6;6
PLLM_2023;7;1
PLLM_2023;7;2
PLLM_2023;7;3
PLLM_2023;7;4
PLLM_2023;7;5
PLLM_2023;7;6
PLLM_2023;8;1
PLLM_2023;8;2
PLLM_2023;8;3
PLLM_2023;8;4
PLLM_2023;8;5
PLLM_2023;8;6
PLLM_2023;9;1
PLLM_2023;9;2
PLLM_2023;9;3
PLLM_2023;9;4
PLLM_2023;9;5
PLLM_2023;9;6
PLLM_2023;10;1
PLLM_2023;10;2
PLLM_2023;10;3
PLLM_2023;10;4
PLLM_2023;10;5
PLLM_2023;10;6
PLLM_2023;11;1
PLLM_2023;11;2
PLLM_2023;11;3
PLLM_2023;11;4
PLLM_2023;11;5
PLLM_2023;11;6
PLLM_2023;12;1
PLLM_2023;12;2
PLLM_2023;12;3
PLLM_2023;12;4
PLLM_2023;12;5
PLLM_2023;12;6
PLLM_2023;13;1
PLLM_2023;13;2
PLLM_2023;13;3
PLLM_2023;13;4
PLLM_2023;13;5
PLLM_2023;13;6
PLLM_2023;14;1
PLLM_2023;14;2
PLLM_2023;14;3
PLLM_2023;14;4
PLLM_2023;14;5
PLLM_2023;14;6
PLLM_2023;15;1
PLLM_2023;15;2
PLLM_2023;15;3
PLLM_2023;15;4
PLLM_2023;15;5
PLLM_2023;15;6
PLLM_2023;16;1
PLLM_2023;16;2
PLLM_2023;16;3
PLLM_2023;16;4
PLLM_2023;16;5
PLLM_2023;16;6
PLLM_2023;17;1
PLLM_2023;17;2
PLLM_2023;17;3
PLLM_2023;17;4
PLLM_2023;17;5
PLLM_2023;17;6
PLLM_2023;18;1
PLLM_2023;18;2
PLLM_2023;18;3
PLLM_2023;18;4
PLLM_2023;18;5
PLLM_2023;18;6
BOURDEL_2023;1;1
BOURDEL_2023;1;2
BOURDEL_2023;1;3
BOURDEL_2023;1;4
BOURDEL_2023;1;5
BOURDEL_2023;1;6
BOURDEL_2023;2;1
BOURDEL_2023;2;2
BOURDEL_2023;2;3
BOURDEL_2023;2;4
BOURDEL_2023;2;5
BOURDEL_2023;2;6
BOURDEL_2023;3;1
BOURDEL_2023;3;2
BOURDEL_2023;3;3
BOURDEL_2023;3;4
BOURDEL_2023;3;5
BOURDEL_2023;3;6
