site;sample;rep
BIENVILLE_2021;26;3
BIENVILLE_2021;27;1
BIENVILLE_2021;27;2
BIENVILLE_2021;27;3
BIENVILLE_2021;28;1
BIENVILLE_2021;28;2
BIENVILLE_2021;28;3
BIENVILLE_2021;29;1
BIENVILLE_2021;29;2
BIENVILLE_2021;29;3
BIENVILLE_2021;30;1
BIENVILLE_2021;30;2
BIENVILLE_2021;30;3
BIENVILLE_2021;31;1
BIENVILLE_2021;31;2
BIENVILLE_2021;31;3
BIENVILLE_2021;32;1
BIENVILLE_2021;32;2
BIENVILLE_2021;32;3
BIENVILLE_2021;33;1
BIENVILLE_2021;33;2
BIENVILLE_2021;33;3
BIENVILLE_2021;34;1
BIENVILLE_2021;34;2
BIENVILLE_2021;34;3
BIENVILLE_2021;35;1
BIENVILLE_2021;35;2
BIENVILLE_2021;35;3
BOURDEL_2020;1;1
BOURDEL_2020;1;2
BOURDEL_2020;1;3
BOURDEL_2020;2;1
BOURDEL_2020;2;2
BOURDEL_2020;2;3
BOURDEL_2020;3;1
BOURDEL_2020;3;2
BOURDEL_2020;3;3
BOURDEL_2020;4;1
BOURDEL_2020;4;2
BOURDEL_2020;4;3
BOURDEL_2020;5;1
BOURDEL_2020;5;2
BOURDEL_2020;5;3
BOURDEL_2020;6;1
BOURDEL_2020;6;2
BOURDEL_2020;6;3
BOURDEL_2022;1;1
BOURDEL_2022;1;2
BOURDEL_2022;1;3
BOURDEL_2022;1;4
BOURDEL_2022;1;5
BOURDEL_2022;1;6
BOURDEL_2022;1;7
BOURDEL_2022;1;8
BOURDEL_2022;1;9
BOURDEL_2022;2;1
BOURDEL_2022;2;2
BOURDEL_2022;2;3
BOURDEL_2022;2;4
BOURDEL_2022;2;5
BOURDEL_2022;2;6
BOURDEL_2022;2;7
BOURDEL_2022;2;8
BOURDEL_2022;2;9
BOURDEL_2022;3;1
BOURDEL_2022;3;2
BOURDEL_2022;3;3
BOURDEL_2022;3;4
BOURDEL_2022;3;5
BOURDEL_2022;3;6
BOURDEL_2022;3;7
BOURDEL_2022;3;8
BOURDEL_2022;3;9
BOURDEL_2022;4;1
BOURDEL_2022;4;2
BOURDEL_2022;4;3
BOURDEL_2022;5;1
BOURDEL_2022;5;2
BOURDEL_2022;5;3
BOURDEL_2022;6;1
BOURDEL_2022;6;2
BOURDEL_2022;6;3
LLM_2019;1;1
LLM_2019;1;2
LLM_2019;1;3
LLM_2019;2;1
LLM_2019;2;2
LLM_2019;2;3
LLM_2019;3;1
LLM_2019;3;2
LLM_2019;3;3
LLM_2019;4;1
LLM_2019;4;2
LLM_2019;4;3
LLM_2019;5;1
LLM_2019;5;2
LLM_2019;5;3
LLM_2019;6;1
LLM_2019;6;2
LLM_2019;6;3
LLM_2019;7;1
LLM_2019;7;2
LLM_2019;7;3
LLM_2019;8;1
LLM_2019;8;2
LLM_2019;8;3
LLM_2019;9;1
LLM_2019;9;2
LLM_2019;9;3
LLM_2019;10;1
LLM_2019;10;2
LLM_2019;10;3
LLM_2019;11;1
LLM_2019;11;2
LLM_2019;11;3
LLM_2019;12;1
LLM_2019;12;2
LLM_2019;12;3
LLM_2020;1;1
LLM_2020;1;2
LLM_2020;1;3
LLM_2020;2;1
LLM_2020;2;2
LLM_2020;2;3
LLM_2020;3;1
LLM_2020;3;2
LLM_2020;3;3
LLM_2020;4;1
LLM_2020;4;2
LLM_2020;4;3
LLM_2020;5;1
LLM_2020;5;2
LLM_2020;5;3
LLM_2020;6;1
LLM_2020;6;2
LLM_2020;6;3
LLM_2020;7;1
LLM_2020;7;2
LLM_2020;7;3
LLM_2020;8;1
LLM_2020;8;2
LLM_2020;8;3
LLM_2020;9;1
LLM_2020;9;2
LLM_2020;9;3
LLM_2020;10;1
LLM_2020;10;2
LLM_2020;10;3
LLM_2020;11;1
LLM_2020;11;2
LLM_2020;11;3
LLM_2020;12;1
LLM_2020;12;2
LLM_2020;12;3
LLM_2021;1;1
LLM_2021;1;2
LLM_2021;1;3
LLM_2021;1;4
LLM_2021;1;5
LLM_2021;1;6
LLM_2021;2;1
LLM_2021;2;2
LLM_2021;2;3
LLM_2021;2;4
LLM_2021;2;5
LLM_2021;2;6
LLM_2021;3;1
LLM_2021;3;2
LLM_2021;3;3
LLM_2021;3;4
LLM_2021;3;5
LLM_2021;3;6
LLM_2021;4;1
LLM_2021;4;2
LLM_2021;4;3
LLM_2021;4;4
LLM_2021;4;5
LLM_2021;4;6
LLM_2021;5;1
LLM_2021;5;2
LLM_2021;5;3
LLM_2021;5;4
LLM_2021;5;5
LLM_2021;5;6
LLM_2021;6;1
LLM_2021;6;2
LLM_2021;6;3
LLM_2021;6;4
LLM_2021;6;5
LLM_2021;6;6
LLM_2021;7;1
LLM_2021;7;2
LLM_2021;7;3
LLM_2021;7;4
LLM_2021;7;5
LLM_2021;7;6
LLM_2021;8;1
LLM_2021;8;2
LLM_2021;8;3
LLM_2021;8;4
LLM_2021;8;5
LLM_2021;8;6
LLM_2021;9;1
LLM_2021;9;2
LLM_2021;9;3
LLM_2021;9;4
LLM_2021;9;5
LLM_2021;9;6
LLM_2021;10;1
LLM_2021;10;2
LLM_2021;10;3
LLM_2021;10;4
LLM_2021;10;5
LLM_2021;10;6
LLM_2021;11;1
LLM_2021;11;2
LLM_2021;11;3
LLM_2021;11;4
LLM_2021;11;5
LLM_2021;11;6
LLM_2021;12;1
LLM_2021;12;2
LLM_2021;12;3
LLM_2021;12;4
LLM_2021;12;5
LLM_2021;12;6
LLM_2021;13;1
LLM_2021;13;2
LLM_2021;13;3
LLM_2021;14;1
LLM_2021;14;2
LLM_2021;14;3
LLM_2021;15;1
LLM_2021;15;2
LLM_2021;15;3
LLM_2021;16;1
LLM_2021;16;2
LLM_2021;16;3
LLM_2022;1;1
LLM_2022;1;2
LLM_2022;1;3
LLM_2022;2;1
LLM_2022;2;2
LLM_2022;2;3
LLM_2022;3;1
LLM_2022;3;2
LLM_2022;3;3
LLM_2022;4;1
LLM_2022;4;2
LLM_2022;4;3
LLM_2022;5;1
LLM_2022;5;2
LLM_2022;5;3
LLM_2022;6;1
LLM_2022;6;2
LLM_2022;6;3
LLM_2022;7;1
LLM_2022;7;2
LLM_2022;7;3
LLM_2022;8;1
LLM_2022;8;2
LLM_2022;8;3
LLM_2022;9;1
LLM_2022;9;2
LLM_2022;9;3
LLM_2022;10;1
LLM_2022;10;2
LLM_2022;10;3
LLM_2022;11;1
LLM_2022;11;2
LLM_2022;11;3
LLM_2022;12;1
LLM_2022;12;2
LLM_2022;12;3
LLM_2022;13;1
LLM_2022;13;2
LLM_2022;13;3
LLM_2022;14;1
LLM_2022;14;2
LLM_2022;14;3
LLM_2022;15;1
LLM_2022;15;2
LLM_2022;15;3
LLM_2022;16;1
LLM_2022;16;2
LLM_2022;16;3
MINTO_2022;1;1
MINTO_2022;1;2
MINTO_2022;1;3
MINTO_2022;2;1
MINTO_2022;2;2
MINTO_2022;2;3
MINTO_2022;3;1
MINTO_2022;3;2
