site;sample;pcr1;pcr2;pcr3;pcr4;pcr5;pcr6;pcr7;pcr8;pcr9
BOURDEL_2020;6;0;0;0;NA;NA;NA;NA;NA;NA
BOURDEL_2022;1;0;0;0;0;0;0;0;0;0
BOURDEL_2022;2;0;0;0;0;0;0;0;0;1
BOURDEL_2022;3;0;0;0;0;1;0;0;1;1
BOURDEL_2022;4;0;0;0;NA;NA;NA;NA;NA;NA
BOURDEL_2022;5;0;0;0;NA;NA;NA;NA;NA;NA
BOURDEL_2022;6;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2019;1;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2019;2;1;0;0;NA;NA;NA;NA;NA;NA
LLM_2019;3;0;0;1;NA;NA;NA;NA;NA;NA
LLM_2019;4;1;1;1;NA;NA;NA;NA;NA;NA
LLM_2019;5;1;1;1;NA;NA;NA;NA;NA;NA
LLM_2019;6;1;0;1;NA;NA;NA;NA;NA;NA
LLM_2019;7;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2019;8;0;1;1;NA;NA;NA;NA;NA;NA
LLM_2019;9;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2019;10;1;0;0;NA;NA;NA;NA;NA;NA
LLM_2019;11;1;1;1;NA;NA;NA;NA;NA;NA
LLM_2019;12;1;1;1;NA;NA;NA;NA;NA;NA
LLM_2020;1;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;2;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;3;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;4;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;5;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;6;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;7;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;8;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;9;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;10;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;11;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2020;12;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2021;1;0;0;0;0;0;0;NA;NA;NA
LLM_2021;2;0;0;0;0;0;0;NA;NA;NA
LLM_2021;3;0;0;0;0;0;0;NA;NA;NA
LLM_2021;4;0;0;0;0;0;0;NA;NA;NA
LLM_2021;5;0;0;0;0;0;0;NA;NA;NA
LLM_2021;6;0;0;0;0;0;0;NA;NA;NA
LLM_2021;7;0;0;0;0;0;0;NA;NA;NA
LLM_2021;8;0;0;0;0;0;0;NA;NA;NA
LLM_2021;9;0;0;0;0;0;0;NA;NA;NA
LLM_2021;10;0;0;0;0;0;0;NA;NA;NA
LLM_2021;11;0;0;0;0;0;0;NA;NA;NA
LLM_2021;12;0;0;0;0;0;0;NA;NA;NA
LLM_2021;13;1;1;1;NA;NA;NA;NA;NA;NA
LLM_2021;14;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2021;15;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2021;16;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;1;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;2;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;3;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;4;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;5;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;6;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;7;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;8;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;9;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;10;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;11;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;12;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;13;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;14;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;15;0;0;0;NA;NA;NA;NA;NA;NA
LLM_2022;16;0;0;0;NA;NA;NA;NA;NA;NA
MINTO_2022;1;0;0;0;NA;NA;NA;NA;NA;NA
MINTO_2022;2;0;0;0;NA;NA;NA;NA;NA;NA
MINTO_2022;3;0;0;0;NA;NA;NA;NA;NA;NA
MINTO_2022;4;0;0;0;NA;NA;NA;NA;NA;NA
MINTO_2022;5;0;0;0;NA;NA;NA;NA;NA;NA
MINTO_2022;6;0;0;1;0;0;0;0;0;0
NASTA_2020;1;0;0;0;NA;NA;NA;NA;NA;NA
NASTA_2020;2;0;0;0;NA;NA;NA;NA;NA;NA
NASTA_2020;3;0;0;0;NA;NA;NA;NA;NA;NA
NASTA_2020;4;0;0;0;NA;NA;NA;NA;NA;NA
